Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2025,WAS,17,2024-11-27,1,LAC,L,96,121,35,85,.412,8,33,.242,18,22,.818,11,40,21,9,4,20,18,45,89,.506,12,33,.364,19,25,.760,13,47,27,18,4,16,19
2025,WAS,18,2024-11-30,0,MIL,L,114,124,41,87,.471,9,32,.281,23,24,.958,8,41,24,7,3,12,26,44,86,.512,16,35,.457,20,25,.800,7,38,31,5,6,12,18
2025,WAS,19,2024-12-03,0,CLE,L,87,118,32,83,.386,4,26,.154,19,25,.760,13,52,18,4,8,21,21,43,89,.483,16,46,.348,16,25,.640,7,45,31,11,4,11,20
2025,WAS,20,2024-12-05,1,DAL,L,101,137,39,99,.394,13,40,.325,10,15,.667,12,39,25,10,3,12,19,48,89,.539,20,38,.526,21,27,.778,13,58,27,8,12,16,16
2025,WAS,21,2024-12-07,1,DEN,W,122,113,45,93,.484,16,41,.390,16,22,.727,15,46,31,9,12,17,21,46,95,.484,5,25,.200,16,27,.593,16,48,34,11,6,15,23
2025,WAS,22,2024-12-08,1,MEM,L,112,140,43,100,.430,6,32,.188,20,22,.909,20,52,20,10,5,21,25,50,96,.521,17,43,.395,23,29,.793,12,46,34,12,8,18,20
2025,WAS,23,2024-12-13,0,CLE,L,105,115,41,86,.477,14,40,.350,9,11,.818,6,44,24,7,7,18,28,36,91,.396,15,50,.300,28,40,.700,16,50,27,10,5,11,14
2025,WAS,24,2024-12-15,1,BOS,L,98,112,40,99,.404,13,40,.325,5,8,.625,17,51,22,10,7,16,25,40,93,.430,18,46,.391,14,24,.583,16,56,26,11,5,18,15
2025,WAS,25,2024-12-19,1,CHO,W,123,114,41,83,.494,17,42,.405,24,31,.774,12,52,33,5,8,18,18,43,106,.406,8,43,.186,20,27,.741,22,52,30,12,2,8,21
2025,WAS,26,2024-12-21,0,MIL,L,101,112,36,81,.444,18,42,.429,11,16,.688,8,47,20,7,4,19,10,44,98,.449,20,48,.417,4,5,.800,10,44,35,12,2,13,14
2025,WAS,27,2024-12-23,0,OKC,L,105,123,36,91,.396,16,43,.372,17,20,.850,13,51,25,7,8,19,16,47,106,.443,10,38,.263,19,22,.864,19,59,25,15,9,12,18
2025,WAS,28,2024-12-26,1,CHO,W,113,110,39,91,.429,14,44,.318,21,28,.750,8,43,25,9,7,11,19,41,94,.436,17,42,.405,11,14,.786,11,50,31,6,4,19,23
2025,WAS,29,2024-12-28,1,NYK,L,132,136,51,99,.515,17,38,.447,13,15,.867,11,44,32,7,4,17,22,51,97,.526,10,40,.250,24,26,.923,10,43,26,7,3,15,14
2025,WAS,30,2024-12-30,1,NYK,L,106,126,39,92,.424,12,43,.279,16,22,.727,12,46,25,6,8,13,23,45,98,.459,15,44,.341,21,25,.840,15,54,34,9,2,8,19
2025,WAS,31,2025-01-01,1,CHI,W,125,107,49,99,.495,17,36,.472,10,12,.833,8,42,36,11,3,17,13,41,92,.446,14,47,.298,11,14,.786,8,44,28,11,6,20,13
2025,WAS,32,2025-01-03,0,NOP,L,120,132,45,84,.536,9,28,.321,21,27,.778,14,48,28,6,0,21,23,48,96,.500,18,41,.439,18,22,.818,13,37,36,10,6,8,22
2025,WAS,33,2025-01-05,1,NOP,L,98,110,38,89,.427,11,41,.268,11,14,.786,9,46,25,6,4,16,18,37,90,.411,18,49,.367,18,20,.900,11,49,26,7,8,12,13
2025,WAS,34,2025-01-07,1,HOU,L,112,135,41,89,.461,15,40,.375,15,20,.750,16,43,21,6,4,18,19,50,97,.515,15,38,.395,20,23,.870,19,49,31,15,2,10,17
2025,WAS,35,2025-01-08,0,PHI,L,103,109,42,94,.447,13,30,.433,6,9,.667,18,51,26,3,6,18,18,40,88,.455,15,44,.341,14,19,.737,10,36,21,8,11,9,14
2025,WAS,36,2025-01-10,0,CHI,L,105,138,39,98,.398,18,46,.391,9,13,.692,13,45,26,6,4,16,15,53,95,.558,23,49,.469,9,14,.643,11,55,39,11,7,15,12
2025,WAS,37,2025-01-12,1,OKC,L,95,136,28,83,.337,9,46,.196,30,33,.909,8,39,20,6,6,18,23,45,95,.474,13,35,.371,33,35,.943,15,56,26,11,4,13,22
2025,WAS,38,2025-01-13,1,MIN,L,106,120,40,91,.440,17,40,.425,9,15,.600,8,34,27,13,3,11,18,41,83,.494,14,37,.378,24,31,.774,14,53,20,8,6,19,15
2025,WAS,39,2025-01-16,1,PHO,L,123,130,46,92,.500,13,41,.317,18,27,.667,12,45,28,13,4,13,22,44,85,.518,16,33,.485,26,31,.839,10,47,33,10,4,16,23
